省广佛,#genre#
广州综合B,http://r.jdshipin.com/iR6Gq
广州新闻A,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州竞赛A,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州影视A,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州影视B,http://r.jdshipin.com/TcKr2
广州法治A,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市A,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
广州南国都市B,http://r.jdshipin.com/nWaZO
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
东莞新闻综合,http://php.jdshipin.com:8880/0769.php?id=xwzh
东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx
江门鹤山综合,http://php.jdshipin.com:8880/chudian.php?id=hszh
江门新会综合,http://php.jdshipin.com:8880/chudian.php?id=xhzh
江门开平综合,http://php.jdshipin.com:8880/chudian.php?id=kpzh
江门开平生活,http://php.jdshipin.com:8880/chudian.php?id=kpsh
江门恩平综合,http://php.jdshipin.com:8880/chudian.php?id=epzh
江门台山台,http://php.jdshipin.com:8880/chudian.php?id=tstv
肇庆综合,http://php.jdshipin.com:8880/chudian.php?id=zqzh
肇庆公共,http://php.jdshipin.com:8880/chudian.php?id=zqgg
肇庆四会新闻综合,http://php.jdshipin.com:8880/chudian.php?id=shzh
肇庆广宁综合,http://php.jdshipin.com:8880/chudian.php?id=gnzh
肇庆怀集综合,http://php.jdshipin.com:8880/chudian.php?id=hjzh
惠州新闻综合,http://php.jdshipin.com:8880/chudian.php?id=hzxw
惠州惠东综合,http://php.jdshipin.com:8880/chudian.php?id=hdzh
惠州惠阳电视台,http://php.jdshipin.com:8880/chudian.php?id=hytv
阳江1台A,http://php.jdshipin.com:8880/chudian.php?id=yjtv1
阳江2台A,http://php.jdshipin.com:8880/chudian.php?id=yjtv2
阳江阳春综合,http://php.jdshipin.com:8880/chudian.php?id=yczh
阳江阳西综合,http://php.jdshipin.com:8880/chudian.php?id=yxzh
云浮罗定综合,http://php.jdshipin.com:8880/chudian.php?id=ldzh
清远综合,http://php.jdshipin.com:8880/chudian.php?id=qyzh
清远清新综合,http://php.jdshipin.com:8880/chudian.php?id=qxzh
清远英德新闻综合,http://php.jdshipin.com:8880/chudian.php?id=ydxw
清远连州综合,http://php.jdshipin.com:8880/chudian.php?id=lzzh
清远佛冈综合,http://php.jdshipin.com:8880/chudian.php?id=fgzh
韶关乐昌台,http://php.jdshipin.com:8880/chudian.php?id=lctv
梅州综合,http://php.jdshipin.com:8880/chudian.php?id=mzzh
河源综合A,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源公共A,http://php.jdshipin.com:8880/chudian.php?id=hygg
河源连平台,http://php.jdshipin.com:8880/chudian.php?id=lpzh
河源东源台,http://php.jdshipin.com:8880/chudian.php?id=dytv
河源和平综合,http://php.jdshipin.com:8880/chudian.php?id=hpzh
河源紫金综合,http://php.jdshipin.com:8880/chudian.php?id=zjzh
茂名化州综合,http://php.jdshipin.com:8880/chudian.php?id=hzzh
茂名信宜综合,http://php.jdshipin.com:8880/chudian.php?id=xyzh
湛江廉江综合,http://php.jdshipin.com:8880/chudian.php?id=ljzh
湛江徐闻综合,http://php.jdshipin.com:8880/chudian.php?id=xwzh
湛江吴川综合,http://php.jdshipin.com:8880/chudian.php?id=wczh
潮州潮安综合,http://php.jdshipin.com:8880/chudian.php?id=cazh
揭阳综合,http://php.jdshipin.com:8880/tianma.php?id=jyzh
揭阳生活,http://php.jdshipin.com:8880/tianma.php?id=jysh
揭阳普宁综合,http://php.jdshipin.com:8880/chudian.php?id=pnzh
西藏工布江达县台,http://php.jdshipin.com:8880/chudian.php?id=gbjd
触电·代,#genre#
广东珠江,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1183
广东卫视,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1182
大湾区卫视,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1197
广东新闻,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1186
广东4K超高清,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1198
广东民生,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1185
广东体育,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1184
广东影视,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1199
嘉佳卡通,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1187
大湾区卫视(海外版),http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1191
广东经济科教,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1196
广东少儿,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1200
广东移动,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2463
GRTN文化频道,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2511
河源综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2402
河源公共,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2496
肇庆生活,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2525
肇庆综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=1232
阳江-1,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2505
阳江-2,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2506
化州综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2440
开平生活,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2406
紫金台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2452
海丰县广播电视台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2413
英德新闻综合频道,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2447
阳春综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2458
广宁综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2414
惠东综合频道,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2404
乐昌电视台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2503
普宁台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2450
惠阳电视台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2470
开平综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2405
廉江台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2445
清新综合频道,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2448
佛冈综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2460
鹤山综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2441
信宜综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2471
怀集综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2462
徐闻台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2474
遂溪台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2488
阳西综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2476
台山台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2479
新会综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2490
潮安综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2523
连州综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2455
吴川综合,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2499
连平台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2520
东源频道,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2497
工布江达县广播电视台,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2439
广东新闻广播,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2512
珠江经济,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2513
音乐之声,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2514
交通之声,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2515
南方生活,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2518
城市之声,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2519
股市广播,http://103.45.68.47:666/gy/gy_ZaDGPy/触电.php?pk=2516
豆豆,#genre#
广东珠江,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=gdzhujiangHD_7500
翡翠台,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1350_4500
明珠台,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1351_4500
广东经济科教,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=GDjingjikejiaoHD_7000
广东体育,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1413
广东综艺4K,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=GDZYHD4K_38000
广东新闻高清,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1454_4500
广东民生高清,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1455_4500
大湾区卫视高清,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1456_4500
广东少儿高清,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1457_4500
广东影视高清,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1458_4500
嘉佳卡通高清,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1459_4500
岭南戏曲高清,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1460_4500
G导视高清,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=GHDdaoshi_7500
重温经典,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1463
凤凰中文.576,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=fhzw_1500
星空卫视.576,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=xingkong_1500
澳视澳门,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1352_4500
澳亚卫视.576,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=aoya_1500
广州综合,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1432
广州新闻,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1433
广州法治.576,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=gzeconomic_1500
广州竞赛.576,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=gzcompetition_1500
广州影视.576,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=gzfilms_1500
佛山综合,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=foshanzongheHD_4500
佛山公共,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=foshangonggongHD_4500
佛山影视,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=foshanyingshiHD_4500
南海综合,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=nanhaiHD_4500
顺德综合,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=shundeHD_4500
CCTV1,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CCTV1HD_7000
CCTV2,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CCTV2HD_7000
CCTV3,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1603
CCTV4,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1604
CCTV5,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1605
CCTV5+,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1403
CCTV6,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1606
CCTV7,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1607
CCTV8,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1608
CCTV9,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CCTV9HD_7000
CCTV10,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1610
CCTV11,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CCTV-11HD_7500
CCTV12,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1612
CCTV13,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1613
CCTV14,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CCTV14HD_7000
CCTV15,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CCTV-15HD_7500
CCTV16,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=1617_4500
CCTV17,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CCTV17HD
CCTV4K,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=4005
CCTV16-4K,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=4010
CETV-1 576,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CETV-1
CETV-4,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CETV-4
CGTN.576,http://103.45.68.47:666/gy/gy_ZaDGPy/豆豆.php?id=CCTV15news_1500
